"id",":TYPE",":START_ID",":END_ID","endDate","percentage","startDate","alephUrl","sharesCurrency","date","description","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"093a8fe2d962bdb0909de10559eb16b0567ca60b","OWNERSHIP","entity:76b44fbe1d939c08a63e0ec758f702e8c6b78aa1","entity:5c9da766ddf0a2273e570cc5b3eeff79373d22bd","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"096eb5f6d44ae58697ecf49e318cff47b06b1625","OWNERSHIP","entity:d80a9d65715fafb9e31a20cebdc240164e4628ba","entity:b9138b93d66ffe12c78ef41a267681fb09a934a9","","51.00","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"09c95796e05729e7ad88071b6a9daa2c04058ce0","OWNERSHIP","entity:3eff54a492893d16d5c0527aedfcc414fb5529da","entity:3bc2dbfbecd60967fe7e54d8eceb071f51914e59","","3.38","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"09df21a3365de0531a7e031646568ba6965f28a3","OWNERSHIP","entity:0213c5e3356d448cc3d6ee89cf92f93d0d20cb7b","entity:623955af285db7dbf20514ce4b0b79e3ed3fce20","","","","","","","","","","","","","","","","","","","","",""
"09dfbcb92007423491c9c9d43c014465918d5ea9","OWNERSHIP","entity:e903d79fcf3fc738c149683173d88125508cbc3b","entity:e98c51c37941c27fcadb3b2317dc0f49a1376f58","","0.09","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"09f1cfb381e9e6acbb05561b4f2f6a3a6521b0a1","OWNERSHIP","entity:2ad2003a1268291bd32b62631689aaa26fe58a6c","entity:06e3b243425ae36c8aabdca28273ecd438c1c519","","75.00","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0a226fc7f97a83d96e84f48e08bdc35cc4cfdbe5","OWNERSHIP","entity:ada9953546d01b1021d37a6939decc707cbeea35","entity:ae7ec0ddc794ea3aa0aa9e37080ae1c58270a08d","","12.33","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0a2cd8b1a4bb89e5ea7b83fae9cda45aadeb622f","OWNERSHIP","entity:4303db3325cd5c6b374deaa8282bce882d21c67d","entity:ca3bfe2d26bd9e9279080bfb9ad08b41baa5b689","","99.81","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0ac272fd133b3ed09919678466c5f13891fe5e2b","OWNERSHIP","entity:d80a9d65715fafb9e31a20cebdc240164e4628ba","entity:2536502afdd6ad701033f2d78d25878e6cc6e48b","","100.00","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0af18f4bee85fb5783a9d74c76a0babca16f3642","OWNERSHIP","entity:408a217a972f1e125f931b5680b2181252962883","entity:3f135ae9ffb1be23eae7605be5951ba4d322fb44","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0b2e38531f6e0975dfb93bd218f4cd5b22f56c6f","OWNERSHIP","entity:a46c2b4b63618df6ae32c9a3e0964ccca956ead3","entity:aacef2599212a1fa810a2140f5e622ca17edd2c2","","0.19","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
